filename,breed,style,setting
dog_001.png,Golden Retriever,photo,park
dog_002.png,Golden Retriever,photo,beach
dog_003.png,Golden Retriever,photo,living room
dog_004.png,Golden Retriever,photo,forest
dog_005.png,Golden Retriever,photo,studio
dog_006.png,Golden Retriever,pencil sketch,garden
dog_007.png,Golden Retriever,watercolor,lake
dog_008.png,Golden Retriever,painting,snow
dog_009.png,Golden Retriever,cartoon,park
dog_010.png,Golden Retriever,photo,park
dog_011.png,Pug,photo,living room
dog_012.png,Pug,photo,cafe
dog_013.png,Pug,photo,city street
dog_014.png,Pug,photo,kitchen
dog_015.png,Pug,photo,studio
dog_016.png,Pug,pencil sketch,park
dog_017.png,Pug,watercolor,garden
dog_018.png,Pug,cartoon,beach
dog_019.png,Pug,painting,living room
dog_020.png,Pug,photo,city street
dog_021.png,German Shepherd,photo,forest
dog_022.png,German Shepherd,photo,park
dog_023.png,German Shepherd,photo,snow
dog_024.png,German Shepherd,photo,city street
dog_025.png,German Shepherd,photo,garden
dog_026.png,German Shepherd,pencil sketch,none
dog_027.png,German Shepherd,watercolor,beach
dog_028.png,German Shepherd,painting,forest
dog_029.png,German Shepherd,cartoon,park
dog_030.png,German Shepherd,photo,living room
dog_031.png,Siberian Husky,photo,snow
dog_032.png,Siberian Husky,photo,forest
dog_033.png,Siberian Husky,photo,park
dog_034.png,Husky,photo,beach
dog_035.png,Husky,photo,lake
dog_036.png,Siberian Husky,pencil sketch,snow
dog_037.png,Siberian Husky,watercolor,forest
dog_038.png,Siberian Husky,painting,mountains
dog_039.png,Husky,cartoon,living room
dog_040.png,Siberian Husky,photo,snow
dog_041.png,Corgi,photo,garden
dog_042.png,Corgi,photo,beach
dog_043.png,Corgi,photo,living room
dog_044.png,Corgi,photo,cafe
dog_045.png,Corgi,photo,park
dog_046.png,Corgi,pencil sketch,street
dog_047.png,Corgi,watercolor,meadow
dog_048.png,Corgi,cartoon,beach
dog_049.png,Corgi,watercolor,park
dog_050.png,Corgi,photo,kitchen
dog_051.png,Dalmatian,photo,park
dog_052.png,Dalmatian,photo,street
dog_053.png,Dalmatian,photo,studio
dog_054.png,Dalmatian,photo,garden
dog_055.png,Dalmatian,photo,forest
dog_056.png,Dalmatian,pencil sketch,living room
dog_057.png,Dalmatian,watercolor,beach
dog_058.png,Dalmatian,painting,park
dog_059.png,Dalmatian,cartoon,city street
dog_060.png,unknown,photo,park
dog_061.png,Bulldog,photo,living room
dog_062.png,Bulldog,photo,park
dog_063.png,Bulldog,photo,cafe
dog_064.png,Bulldog,photo,city street
dog_065.png,Bulldog,photo,garden
dog_066.png,Bulldog,pencil sketch,white background
dog_067.png,Bulldog,watercolor,park
dog_068.png,Bulldog,painting,living room
dog_069.png,Bulldog,cartoon,kitchen
dog_070.png,Bulldog,photo,living room
dog_071.png,Shiba Inu,photo,garden
dog_072.png,Shiba Inu,photo,park
dog_073.png,Shiba Inu,photo,city street
dog_074.png,Shiba Inu,photo,forest
dog_075.png,Shiba Inu,photo,snow
dog_076.png,Shiba Inu,pencil sketch,garden
dog_077.png,Shiba Inu,watercolor,lake
dog_078.png,Shiba Inu,cartoon,cafe
dog_079.png,Shiba Inu,painting,autumn forest
dog_080.png,Shiba Inu,photo,studio
dog_081.png,Beagle,photo,forest
dog_082.png,Beagle,photo,park
dog_083.png,Beagle,photo,kitchen
dog_084.png,Beagle,photo,beach
dog_085.png,Beagle,photo,garden
dog_086.png,Beagle,pencil sketch,forest
dog_087.png,Beagle,watercolor,park
dog_088.png,Beagle,cartoon,living room
dog_089.png,Beagle,watercolor,desert
dog_090.png,Beagle,photo,park
dog_091.png,Poodle,photo,studio
dog_092.png,Poodle,photo,park
dog_093.png,Poodle,photo,street
dog_094.png,Poodle,photo,garden
dog_095.png,Poodle,photo,cafe
dog_096.png,Poodle,pencil sketch,beach
dog_097.png,Poodle,watercolor,garden
dog_098.png,Poodle,painting,studio
dog_099.png,Poodle,cartoon,park
dog_100.png,Labradoodle,photo,living room
